target_class,orbital_period,planetary_radius,insolation_flux,equilibrium_temp,stellar_temp,stellar_radius,stellar_mass,distance,transit_duration,transit_depth,data_source
FALSE POSITIVE,3.351556891,1.64,314.73,1074.0,5185.0,0.911,0.837,,2.4005,341.9,kepler
CONFIRMED,2.617028373,1.57,233.23,996.0,4831.0,0.724,0.706,,2.046,499.4,kepler
FALSE POSITIVE,1.876406096,1.57,476.68,1192.0,5198.0,0.759,0.843,,1.531,433.8,kepler
FALSE POSITIVE,1.727177258,1.42,576.55,1250.0,5394.0,0.72,0.805,,2.081,347.4,kepler
CONFIRMED,7.24022418,2.14,62.1,716.0,4955.0,0.721,0.774,,2.9153,864.9,kepler
CONFIRMED,4.64622383,1.82,112.18,830.0,4955.0,0.721,0.774,,2.5137,446.5,kepler
CONFIRMED,19.74733983,2.62,76.57,754.0,6243.0,1.149,1.226,,3.4444,480.7,kepler
CONFIRMED,4.4096675,1.51,476.94,1192.0,5836.0,1.166,1.1,,2.1418,132.7,kepler
CONFIRMED,4.16787814,1.07,202.48,962.0,5251.0,0.847,0.91,,2.2136,168.1,kepler
CONFIRMED,11.79161234,2.41,127.75,857.0,5619.0,1.199,0.962,,3.036,415.4,kepler
FALSE POSITIVE,20.55848388,36.9,35.76,624.0,5578.0,0.936,0.974,,1.449,677.3,kepler
CONFIRMED,26.964501,2.2,25.56,573.0,5754.0,0.905,1.021,,3.792,601.7,kepler
CONFIRMED,7.76845639,1.35,118.09,841.0,5447.0,0.917,0.928,,3.689,217.8,kepler
FALSE POSITIVE,2.178154348,22.22,886.88,1392.0,5947.0,0.881,0.86,,3.4874,428.6,kepler
CONFIRMED,5.03257009,2.53,283.49,1047.0,5970.0,0.908,0.996,,4.213,439.1,kepler
CONFIRMED,40.4286676,2.92,14.08,494.0,5813.0,0.833,0.925,,7.102,916.1,kepler
CONFIRMED,21.3588236,2.52,53.89,691.0,6170.0,0.992,1.063,,5.823,640.1,kepler
CONFIRMED,22.0459163,3.05,39.69,640.0,5900.0,0.951,1.065,,5.22,804.8,kepler
CONFIRMED,17.32670445,2.23,19.38,535.0,4955.0,0.721,0.774,,4.269,800.0,kepler
CONFIRMED,44.8411168,2.75,5.45,390.0,4955.0,0.721,0.774,,5.902,1051.6,kepler
FALSE POSITIVE,1.008917105,1.51,1698.88,1636.0,5708.0,0.795,0.883,,1.4577,338.5,kepler
CONFIRMED,13.75207851,2.81,22.57,556.0,4802.0,0.699,0.738,,2.8831,1215.6,kepler
CONFIRMED,6.33855946,3.31,270.47,1034.0,6108.0,1.03,1.132,,3.4617,721.7,kepler
CANDIDATE,11.30507984,1.4,72.67,744.0,5705.0,0.844,0.936,,3.989,278.4,kepler
CONFIRMED,4.59489816,1.85,716.65,1319.0,6056.0,1.381,1.148,,3.1381,109.7,kepler
CONFIRMED,32.2964275,1.9,15.14,503.0,5246.0,0.891,0.854,,4.561,472.2,kepler
CONFIRMED,2.97041801,1.7,228.11,991.0,5068.0,0.743,0.833,,2.2369,530.7,kepler
CANDIDATE,9.9824036,1.17,205.65,966.0,6273.0,1.139,1.092,,1.09,83.9,kepler
CANDIDATE,0.839961456,1.63,1066.37,1455.0,4932.0,0.718,0.808,,1.3008,492.9,kepler
CONFIRMED,2.578852119,1.63,540.56,1230.0,5743.0,0.853,0.949,,2.3581,334.3,kepler
FALSE POSITIVE,9.04189129,3.24,66.83,729.0,5237.0,0.826,0.927,,2.789,783.4,kepler
CONFIRMED,30.22910274,3.49,76.88,755.0,6325.0,1.518,1.296,,6.6751,443.4,kepler
FALSE POSITIVE,2.92878704,22.76,556.77,1239.0,5955.0,0.883,0.972,,4.634,549.4,kepler
CONFIRMED,9.80321143,2.99,152.12,896.0,6170.0,0.992,1.063,,4.4617,813.4,kepler
CONFIRMED,24.81097206,4.22,37.43,631.0,6086.0,0.921,1.003,,3.2245,2090.8,kepler
CANDIDATE,7.136922,1.38,197.05,956.0,6086.0,0.921,1.003,,2.8005,221.6,kepler
CONFIRMED,4.8538404,1.72,288.7,1052.0,5778.0,0.968,1.038,,3.198,196.4,kepler
CONFIRMED,11.04605365,1.8,134.66,869.0,6093.0,1.025,1.025,,4.799,308.3,kepler
CONFIRMED,3.72020708,0.99,195.7,954.0,5017.0,0.797,0.76,,1.892,156.9,kepler
CONFIRMED,8.689301216,2.92,88.24,782.0,5211.0,0.895,0.817,,2.563,1117.0,kepler
CONFIRMED,20.99757968,2.97,27.2,582.0,5211.0,0.895,0.817,,2.454,1131.8,kepler
FALSE POSITIVE,0.979442525,1.64,1420.01,1567.0,5532.0,0.745,0.833,,1.0348,469.3,kepler
CONFIRMED,15.13590453,2.57,179.16,933.0,6050.0,1.572,1.24,,2.236,255.7,kepler
FALSE POSITIVE,1.399326503,1.0,402.58,1143.0,4502.0,0.728,0.722,,1.8305,206.4,kepler
CONFIRMED,20.55331441,3.19,74.49,749.0,6325.0,1.112,1.157,,5.3136,678.3,kepler
CONFIRMED,40.0686713,3.1,23.27,560.0,6026.0,0.992,0.924,,5.8875,970.9,kepler
CANDIDATE,5.83393857,1.98,642.83,1285.0,5597.0,1.699,0.969,,4.5813,134.4,kepler
CONFIRMED,10.41572666,3.01,95.64,797.0,5511.0,0.987,0.947,,2.7719,825.3,kepler
CONFIRMED,14.97031664,2.53,143.33,883.0,5726.0,1.483,1.066,,5.884,290.5,kepler
CANDIDATE,6.33027476,1.02,283.31,1046.0,5900.0,1.07,0.964,,3.67,89.2,kepler
CONFIRMED,38.3262237,2.43,12.56,480.0,5229.0,0.903,0.821,,3.073,392.1,kepler
CANDIDATE,5.59728249,3.28,176.53,930.0,5610.0,0.858,0.953,,1.795,1407.3,kepler
CONFIRMED,5.52418625,2.25,214.86,976.0,5334.0,1.004,0.865,,2.826,491.0,kepler
CONFIRMED,8.77514782,1.91,115.84,837.0,5334.0,1.004,0.865,,3.176,351.9,kepler
FALSE POSITIVE,10.12742274,3.8,208.77,969.0,6392.0,1.162,1.232,,1.2762,933.5,kepler
FALSE POSITIVE,0.870693883,2.09,2923.54,1876.0,5985.0,0.883,0.94,,1.2137,438.5,kepler
CONFIRMED,27.5071114,2.58,24.71,569.0,5783.0,0.88,0.977,,5.907,580.7,kepler
CONFIRMED,5.1443645,1.55,171.63,923.0,5157.0,0.904,0.83,,2.703,310.7,kepler
CONFIRMED,18.45848388,2.5,37.81,632.0,5311.0,0.948,0.859,,3.3703,535.3,kepler
CONFIRMED,25.9421582,1.95,14.85,501.0,5167.0,0.796,0.891,,4.045,569.7,kepler
CONFIRMED,21.06075303,1.78,47.39,669.0,5706.0,1.034,0.94,,5.2472,301.2,kepler
CONFIRMED,13.08424286,2.71,70.51,739.0,5511.0,0.987,0.947,,3.0401,662.0,kepler
CANDIDATE,23.3397956,1.23,43.02,653.0,5671.0,1.084,0.983,,1.923,125.1,kepler
CONFIRMED,2.806243488,1.41,83.53,771.0,4153.0,0.581,0.595,,1.6271,599.6,kepler
FALSE POSITIVE,2.27190723,1.12,714.27,1318.0,5788.0,0.856,0.856,,5.383,149.0,kepler
CONFIRMED,6.53194024,3.09,159.66,907.0,5301.0,0.977,0.856,,3.3351,771.9,kepler
CONFIRMED,51.3011844,2.07,13.86,492.0,6032.0,0.929,1.014,,5.359,498.9,kepler
CONFIRMED,0.938466959,1.58,2919.17,1876.0,5499.0,1.087,0.906,,1.3015,217.4,kepler
CANDIDATE,51.3901452,3.62,24.98,570.0,6074.0,1.292,1.173,,5.995,494.0,kepler
CONFIRMED,4.66271902,3.86,274.98,1039.0,5729.0,0.939,1.051,,2.757,1630.6,kepler
CONFIRMED,11.8150174,3.48,79.66,762.0,5729.0,0.939,1.051,,2.834,1003.0,kepler
CONFIRMED,7.834433676,3.47,53.33,689.0,4920.0,0.72,0.822,,2.89,2018.1,kepler
CONFIRMED,3.005156911,2.2,191.27,949.0,4920.0,0.72,0.822,,2.0747,691.6,kepler
CONFIRMED,33.3856176,2.48,26.73,580.0,5833.0,1.022,0.974,,5.0361,553.2,kepler
FALSE POSITIVE,8.48039789,1.71,132.85,866.0,5401.0,1.05,0.93,,6.249,259.7,kepler
FALSE POSITIVE,1.333395306,0.86,880.53,1390.0,5199.0,0.811,0.807,,1.188,114.5,kepler
CONFIRMED,4.4444826,1.71,518.45,1217.0,6240.0,1.079,1.135,,3.686,163.0,kepler
CONFIRMED,8.04727721,2.33,126.56,855.0,5840.0,0.849,0.942,,5.159,486.0,kepler
CONFIRMED,5.87063416,1.44,33.99,616.0,4166.0,0.612,0.624,,2.5736,505.6,kepler
CONFIRMED,29.5390897,2.51,61.49,714.0,6572.0,1.238,1.298,,4.139,403.3,kepler
CANDIDATE,35.6364022,1.99,19.62,537.0,5926.0,0.887,0.978,,4.888,452.6,kepler
FALSE POSITIVE,0.784031658,1.55,1995.65,1705.0,5435.0,0.824,0.937,,0.7773,352.2,kepler
CONFIRMED,13.07141889,2.47,203.87,964.0,6122.0,1.439,1.123,,3.0946,251.1,kepler
CONFIRMED,3.989544192,0.93,157.1,903.0,5229.0,0.688,0.765,,1.591,190.0,kepler
CONFIRMED,17.9776037,1.58,75.61,752.0,6296.0,1.006,1.066,,4.605,213.9,kepler
CONFIRMED,11.8693144,1.09,131.58,864.0,6296.0,1.006,1.066,,4.653,101.9,kepler
CONFIRMED,12.98494603,1.64,105.74,818.0,5948.0,1.025,0.93,,3.4497,257.2,kepler
CONFIRMED,19.17893976,2.4,39.65,640.0,5767.0,0.881,0.979,,5.144,752.8,kepler
CONFIRMED,6.99130452,1.95,62.05,716.0,4847.0,0.761,0.86,,2.1568,555.4,kepler
CONFIRMED,3.517494725,1.42,58.08,704.0,4132.0,0.564,0.578,,1.5639,532.8,kepler
CONFIRMED,6.93365167,1.7,351.27,1104.0,5861.0,1.304,1.01,,4.608,119.6,kepler
CANDIDATE,5.91393977,1.07,361.0,1112.0,6194.0,1.129,1.208,,0.562,84.0,kepler
CONFIRMED,33.8677783,2.31,5.69,394.0,4564.0,0.691,0.683,,3.72,894.8,kepler
CANDIDATE,14.62399621,21.92,50.91,681.0,5753.0,0.815,0.907,,2.193,1082.0,kepler
FALSE POSITIVE,1.157808038,22.9,1472.38,1579.0,5566.0,0.886,0.975,,3.6705,866.7,kepler
FALSE POSITIVE,6.14281498,1.82,796.26,1355.0,6495.0,1.554,1.182,,4.624,122.0,kepler
CONFIRMED,5.69919592,1.16,204.18,964.0,5646.0,0.932,0.986,,2.3906,159.4,kepler
CONFIRMED,18.11473813,2.49,112.43,830.0,6109.0,1.36,1.194,,5.2706,241.5,kepler
CONFIRMED,6.24145791,1.6,360.09,1111.0,5810.0,1.259,1.026,,3.0998,163.7,kepler
CONFIRMED,20.4222447,1.78,89.74,785.0,6119.0,1.299,1.157,,6.22,189.3,kepler
CONFIRMED,8.72585478,2.86,222.19,985.0,6036.0,1.131,0.987,,4.473,446.7,kepler
CONFIRMED,12.88291395,3.15,132.23,865.0,6036.0,1.131,0.987,,5.676,460.5,kepler
CONFIRMED,27.4345973,2.56,48.29,672.0,6036.0,1.131,0.987,,5.038,472.6,kepler
CONFIRMED,4.22453631,1.6,584.24,1254.0,6036.0,1.131,0.987,,3.128,159.1,kepler
CONFIRMED,44.5520266,2.29,25.3,572.0,6036.0,1.131,0.987,,6.0,362.1,kepler
CONFIRMED,52.069002,2.92,17.76,524.0,5565.0,1.246,1.008,,3.0089,558.3,kepler
CONFIRMED,2.418406841,2.25,535.84,1226.0,5422.0,0.887,0.874,,2.0744,665.4,kepler
FALSE POSITIVE,5.0825188,0.88,207.45,968.0,5706.0,0.834,0.93,,3.328,105.0,kepler
CONFIRMED,9.11500269,1.78,159.34,906.0,5962.0,1.028,1.039,,4.558,268.3,kepler
FALSE POSITIVE,8.48031942,4.54,168.01,918.0,5951.0,0.991,0.983,,7.297,1426.7,kepler
CONFIRMED,13.7223682,2.23,73.16,746.0,5637.0,0.943,0.813,,5.1231,571.1,kepler
FALSE POSITIVE,3.582076914,5.33,604.27,1265.0,6109.0,0.993,0.95,,4.4228,1534.4,kepler
CONFIRMED,15.43400996,4.3,63.79,721.0,5900.0,0.951,1.065,,4.2572,1785.9,kepler
FALSE POSITIVE,1.780984316,2.33,899.03,1397.0,5730.0,0.87,0.968,,2.173,590.9,kepler
CONFIRMED,7.63846084,1.12,333.3,1089.0,6119.0,1.299,1.157,,3.957,71.7,kepler
CONFIRMED,70.6981724,1.63,7.11,417.0,5811.0,0.866,0.94,,6.632,357.7,kepler
CONFIRMED,3.74443645,1.1,736.89,1328.0,5876.0,1.293,1.132,,2.9191,73.3,kepler
CANDIDATE,10.19154678,1.39,404.17,1144.0,6212.0,1.684,1.156,,6.165,61.3,kepler
CANDIDATE,12.89006728,1.93,34.99,620.0,4915.0,0.812,0.781,,3.555,602.5,kepler
CONFIRMED,2.35574505,1.34,338.4,1093.0,4915.0,0.812,0.781,,1.796,266.9,kepler
CANDIDATE,4.74666128,1.3,132.4,865.0,4915.0,0.812,0.781,,2.093,256.8,kepler
CONFIRMED,19.65639342,2.83,21.5,549.0,5288.0,0.74,0.828,,3.226,843.2,kepler
CONFIRMED,70.468171,3.46,16.17,511.0,6461.0,1.131,1.162,,6.653,922.4,kepler
CONFIRMED,3.93246069,1.65,151.31,894.0,4841.0,0.779,0.756,,2.1763,455.5,kepler
CONFIRMED,5.960400011,2.85,148.26,890.0,5418.0,0.886,0.978,,2.8617,828.3,kepler
CONFIRMED,1.609321941,1.57,199.28,958.0,4224.0,0.603,0.609,,1.6067,728.5,kepler
CONFIRMED,9.51220046,1.99,18.66,530.0,4224.0,0.603,0.609,,2.9497,1169.4,kepler
CONFIRMED,4.72941177,1.22,47.3,669.0,4224.0,0.603,0.609,,2.234,434.3,kepler
FALSE POSITIVE,26.0692512,23.61,28.85,591.0,5585.0,0.91,0.773,,7.487,831.5,kepler
CONFIRMED,9.69501146,2.08,114.06,833.0,5896.0,0.914,1.0,,2.75,515.2,kepler
CONFIRMED,15.3825394,2.14,61.61,714.0,5896.0,0.914,1.0,,3.815,550.5,kepler
FALSE POSITIVE,1.818939148,1.82,1364.15,1549.0,6153.0,0.962,1.036,,1.644,331.2,kepler
CONFIRMED,40.1097817,3.11,22.65,556.0,5509.0,1.169,0.918,,5.2096,732.0,kepler
CANDIDATE,0.708621057,1.2,2741.07,1846.0,5422.0,0.887,0.874,,1.5041,187.5,kepler
CONFIRMED,2.46106962,0.84,483.09,1195.0,5418.0,0.886,0.978,,2.184,84.2,kepler
FALSE POSITIVE,3.403743926,10.77,346.98,1101.0,5596.0,0.853,0.906,,1.5017,815.9,kepler
CONFIRMED,8.03753796,1.54,72.44,744.0,5044.0,0.804,0.764,,2.9118,286.5,kepler
CONFIRMED,56.4758069,3.22,7.14,417.0,5497.0,0.839,0.952,,5.961,1091.8,kepler
CONFIRMED,10.4188915,3.17,126.48,855.0,5692.0,1.064,0.946,,3.0069,670.0,kepler
CONFIRMED,20.4998763,2.8,67.67,731.0,6249.0,1.076,1.13,,6.501,437.8,kepler
CONFIRMED,1.921437488,1.77,626.79,1276.0,5238.0,0.851,0.784,,1.9046,278.7,kepler
CONFIRMED,20.38174802,3.16,18.36,528.0,4883.0,0.808,0.779,,3.7922,1597.1,kepler
CANDIDATE,7.00447892,1.19,76.26,754.0,4883.0,0.808,0.779,,2.669,231.4,kepler
CONFIRMED,5.101375725,2.84,287.28,1050.0,5869.0,0.954,1.001,,2.595,894.6,kepler
FALSE POSITIVE,3.47021401,2.4,179.02,933.0,4922.0,0.744,0.726,,2.289,1105.2,kepler
CONFIRMED,13.93068791,1.4,46.19,665.0,5497.0,0.839,0.952,,2.312,186.5,kepler
FALSE POSITIVE,12.36564669,24.89,98.51,804.0,6075.0,0.952,1.033,,3.644,388.4,kepler
CONFIRMED,10.35078415,1.97,119.01,842.0,5534.0,1.08,0.926,,6.253,273.1,kepler
CANDIDATE,32.7737631,5.0,52.22,686.0,5640.0,1.534,1.023,,3.416,564.5,kepler
CONFIRMED,38.6520796,2.07,13.28,487.0,5422.0,0.887,0.874,,5.607,566.5,kepler
CONFIRMED,14.20442616,1.9,31.1,602.0,5350.0,0.678,0.758,,3.898,800.6,kepler
CONFIRMED,55.673582,2.19,5.16,384.0,4998.0,0.808,0.806,,3.778,765.1,kepler
CONFIRMED,6.82778157,1.34,26.31,577.0,4198.0,0.574,0.587,,2.3726,545.8,kepler
FALSE POSITIVE,0.687895191,1.35,888.72,1391.0,4478.0,0.651,0.637,,2.4233,462.5,kepler
CONFIRMED,10.06083238,2.58,154.16,899.0,5705.0,1.14,0.939,,4.5718,460.2,kepler
CONFIRMED,30.1837021,3.65,38.2,634.0,5733.0,1.183,0.974,,5.879,974.9,kepler
FALSE POSITIVE,1.332564478,27.04,1627.5,1618.0,5995.0,0.878,0.964,,6.0325,1071.5,kepler
FALSE POSITIVE,41.0772969,3.25,17.74,523.0,5665.0,0.938,0.773,,5.525,1216.8,kepler
CONFIRMED,42.4729078,2.03,19.93,539.0,5616.0,1.111,0.957,,7.253,334.0,kepler
CONFIRMED,15.17026921,2.47,158.23,905.0,6297.0,1.369,1.247,,4.3311,224.8,kepler
CONFIRMED,17.8159689,3.12,56.48,699.0,5964.0,0.933,0.968,,3.6765,776.8,kepler
CONFIRMED,36.5157639,2.55,7.71,425.0,4847.0,0.781,0.772,,3.6577,861.3,kepler
CONFIRMED,14.07969236,2.08,177.81,931.0,5821.0,1.547,1.092,,1.375,169.5,kepler
CONFIRMED,16.54081386,1.57,24.87,570.0,5064.0,0.769,0.806,,2.5996,370.0,kepler
CONFIRMED,3.609313059,3.26,336.16,1092.0,5668.0,0.868,0.963,,1.7752,1375.1,kepler
CONFIRMED,1.93155546,2.25,655.43,1290.0,5461.0,0.858,0.957,,1.614,504.9,kepler
CONFIRMED,13.52252364,2.11,42.82,652.0,5338.0,0.816,0.875,,3.987,690.6,kepler
CONFIRMED,4.33643506,1.75,1054.56,1453.0,6180.0,1.603,1.275,,4.1445,108.5,kepler
CONFIRMED,15.95541913,2.18,25.54,573.0,4891.0,0.805,0.776,,3.9851,762.6,kepler
CONFIRMED,8.25980352,1.35,61.43,714.0,4891.0,0.805,0.776,,2.928,298.4,kepler
CONFIRMED,62.5613879,3.54,7.13,417.0,5662.0,0.84,0.937,,5.907,1372.6,kepler
CONFIRMED,8.96847034,2.17,259.95,1024.0,5808.0,1.374,1.054,,4.4073,234.3,kepler
CONFIRMED,1.907810683,0.91,609.28,1268.0,5435.0,0.824,0.937,,1.8707,120.5,kepler
CANDIDATE,32.85862571,2.31,53.85,691.0,5899.0,1.414,0.995,,3.1483,162.8,kepler
CANDIDATE,2.229326354,0.6,621.53,1273.0,5587.0,0.865,0.914,,1.9946,49.1,kepler
CONFIRMED,2.514628496,1.27,517.89,1217.0,5662.0,0.84,0.937,,1.6239,228.4,kepler
CANDIDATE,8.56267266,2.26,82.22,768.0,5029.0,0.93,0.847,,1.53,608.1,kepler
CONFIRMED,8.30537702,1.69,101.43,809.0,5435.0,0.873,0.87,,3.751,365.6,kepler
CONFIRMED,13.22714056,2.22,39.1,638.0,5180.0,0.8,0.825,,3.2861,812.0,kepler
CONFIRMED,51.8098276,2.6,6.71,410.0,5191.0,0.826,0.844,,6.343,1025.4,kepler
CONFIRMED,4.38536428,1.15,180.22,935.0,5191.0,0.826,0.844,,2.5126,198.5,kepler
CONFIRMED,34.205785079,1.1,11.67,471.0,5191.0,0.826,0.844,,5.1691,183.2,kepler
CONFIRMED,13.97945055,1.97,38.44,635.0,5191.0,0.826,0.844,,1.2325,356.1,kepler
CONFIRMED,3.554856338,1.29,425.04,1157.0,6068.0,0.831,0.931,,2.1004,232.9,kepler
CONFIRMED,59.7711433,3.17,17.53,522.0,6214.0,1.122,1.101,,4.843,574.5,kepler
CONFIRMED,4.417692516,1.57,92.16,790.0,4766.0,0.664,0.723,,2.323,279.2,kepler
CONFIRMED,10.08744556,3.15,186.14,942.0,6310.0,1.095,1.143,,2.9884,568.1,kepler
CONFIRMED,16.34355902,3.26,67.34,730.0,5730.0,1.056,1.008,,5.474,829.4,kepler
CONFIRMED,21.96401646,2.57,40.41,643.0,5774.0,0.958,0.937,,2.7509,693.4,kepler
CONFIRMED,12.51353325,1.88,58.69,706.0,5435.0,0.873,0.87,,4.301,430.8,kepler
CONFIRMED,17.9134215,1.39,36.38,626.0,5435.0,0.873,0.87,,4.364,197.8,kepler
CONFIRMED,25.2149143,1.19,23.05,559.0,5435.0,0.873,0.87,,5.76,174.1,kepler
CONFIRMED,5.42586901,1.48,211.66,973.0,5594.0,0.934,0.981,,2.5342,259.0,kepler
CONFIRMED,19.58561177,3.09,46.51,666.0,5618.0,0.996,0.911,,1.755,532.9,kepler
CONFIRMED,4.544436472,3.0,253.48,1017.0,5445.0,0.937,0.919,,1.8141,879.3,kepler
CONFIRMED,12.76220558,3.18,63.86,721.0,5445.0,0.937,0.919,,2.0688,653.8,kepler
CONFIRMED,38.7149617,2.62,14.55,498.0,5445.0,0.937,0.919,,3.441,694.8,kepler
FALSE POSITIVE,8.78458274,2.6,411.55,1149.0,5927.0,1.691,1.161,,6.459,210.8,kepler
CONFIRMED,3.69298623,1.74,72.66,745.0,4402.0,0.572,0.575,,1.7744,763.3,kepler
CONFIRMED,6.4980147,1.87,262.18,1026.0,5727.0,1.104,0.946,,2.4384,190.9,kepler
CONFIRMED,19.76169247,2.81,92.38,791.0,6327.0,1.175,1.064,,3.9097,392.5,kepler
CONFIRMED,5.18498961,1.15,42.62,652.0,4325.0,0.56,0.547,,2.1397,430.1,kepler
CONFIRMED,19.32945602,2.26,18.57,529.0,5026.0,0.763,0.875,,3.794,935.5,kepler
CANDIDATE,17.79108667,2.88,112.09,830.0,5855.0,1.34,0.92,,2.662,414.2,kepler
CONFIRMED,3.290114076,1.49,97.96,802.0,4484.0,0.594,0.58,,1.5151,645.3,kepler
CONFIRMED,2.422084188,3.55,511.66,1213.0,5598.0,0.83,0.928,,2.5613,1871.8,kepler
CONFIRMED,16.92342126,3.4,57.37,702.0,5786.0,0.99,1.044,,4.1864,1125.3,kepler
CONFIRMED,5.47665801,2.01,71.0,741.0,4650.0,0.706,0.704,,2.5482,648.0,kepler
CONFIRMED,4.580346161,1.38,147.56,889.0,5103.0,0.789,0.82,,2.097,308.3,kepler
CONFIRMED,2.248288213,1.25,380.75,1127.0,5103.0,0.789,0.82,,2.0361,263.2,kepler
CONFIRMED,6.76690759,1.31,87.79,781.0,5103.0,0.789,0.82,,1.7062,249.3,kepler
CONFIRMED,34.1732156,2.37,11.09,465.0,5201.0,0.834,0.948,,4.7679,635.0,kepler
CONFIRMED,16.7364755,2.73,10.99,464.0,4334.0,0.653,0.646,,2.151,1147.0,kepler
CONFIRMED,12.43929428,1.3,36.57,627.0,4987.0,0.773,0.742,,3.176,254.3,kepler
CONFIRMED,7.62635494,1.21,57.89,703.0,4955.0,0.721,0.774,,2.4168,296.1,kepler
CANDIDATE,8.710442022,3.61,78.75,760.0,5416.0,0.809,0.9,,0.9425,1196.4,kepler
CONFIRMED,7.56052209,2.4,164.9,914.0,5895.0,0.94,1.026,,3.8573,659.8,kepler
CONFIRMED,12.12401737,2.37,48.98,675.0,5094.0,0.87,0.813,,3.3091,788.4,kepler
CONFIRMED,9.38740646,1.69,25.83,575.0,4500.0,0.646,0.71,,1.6165,384.6,kepler
CONFIRMED,7.41556471,0.79,35.37,622.0,4500.0,0.646,0.71,,1.973,150.4,kepler
CONFIRMED,24.2101973,1.5,9.8,451.0,4650.0,0.706,0.704,,4.046,458.0,kepler
CONFIRMED,6.22161107,1.59,348.15,1101.0,6277.0,1.097,1.148,,3.4117,165.0,kepler
CONFIRMED,6.17998508,2.12,104.06,814.0,5149.0,0.791,0.811,,2.1094,750.5,kepler
CONFIRMED,1.569066598,1.68,2763.39,1849.0,5821.0,1.395,1.054,,2.7803,147.2,kepler
CONFIRMED,9.59068586,3.93,329.34,1087.0,5476.0,1.673,0.819,,3.452,544.6,kepler
CONFIRMED,7.03932913,4.67,298.33,1060.0,5846.0,1.24,1.064,,3.514,836.7,kepler
CONFIRMED,49.6075771,2.12,6.17,402.0,5187.0,0.774,0.858,,2.9575,626.7,kepler
CONFIRMED,16.84183355,3.08,56.43,699.0,5602.0,1.009,0.941,,2.6194,822.1,kepler
CONFIRMED,12.55111099,1.34,12.56,480.0,4213.0,0.598,0.609,,3.1293,494.1,kepler
CONFIRMED,24.0884178,1.16,5.26,386.0,4213.0,0.598,0.609,,3.952,387.2,kepler
CONFIRMED,12.75800092,1.49,107.96,822.0,5782.0,1.095,0.957,,4.1828,187.9,kepler
CONFIRMED,5.47033376,1.15,334.27,1090.0,5782.0,1.095,0.957,,3.1441,112.0,kepler
CONFIRMED,6.51112385,3.09,243.67,1008.0,6032.0,1.001,1.065,,1.6919,695.1,kepler
CONFIRMED,23.85163321,3.37,43.19,654.0,6032.0,1.001,1.065,,2.4453,833.7,kepler
CONFIRMED,2.714078374,1.38,675.86,1301.0,5815.0,0.992,1.038,,1.3115,143.5,kepler
CONFIRMED,4.88753111,2.45,239.11,1003.0,5568.0,0.957,1.053,,2.034,679.6,kepler
CONFIRMED,6.14728341,0.79,83.18,770.0,4997.0,0.746,0.806,,2.7645,119.7,kepler
CONFIRMED,2.800111267,2.13,197.81,956.0,4786.0,0.704,0.686,,1.0237,706.7,kepler
CONFIRMED,34.3511339,2.75,26.1,576.0,6091.0,0.967,1.045,,4.4408,599.4,kepler
CONFIRMED,3.00725068,1.56,373.99,1122.0,5667.0,0.781,0.873,,4.4302,285.8,kepler
CONFIRMED,1.970340203,3.97,1540.07,1599.0,4883.0,1.667,0.951,,1.7901,403.2,kepler
CONFIRMED,5.05821338,10.69,439.8,1168.0,4883.0,1.667,0.951,,1.132,748.3,kepler
CONFIRMED,26.85323647,2.65,20.77,544.0,5329.0,0.869,0.786,,4.4557,965.8,kepler
CONFIRMED,25.0985083,1.59,43.84,656.0,5782.0,1.095,0.957,,2.7727,167.6,kepler
CONFIRMED,34.2685741,2.44,12.2,477.0,5083.0,0.872,0.815,,4.8251,699.3,kepler
CONFIRMED,5.75321539,3.14,169.44,920.0,5445.0,0.929,1.017,,1.7948,733.8,kepler
CONFIRMED,5.50860699,1.49,179.62,934.0,5448.0,0.883,0.877,,3.0788,203.9,kepler
CONFIRMED,18.93055119,4.41,81.42,766.0,5015.0,1.643,0.955,,3.372,684.0,kepler
CONFIRMED,22.06402,2.67,60.81,712.0,6232.0,1.09,1.174,,4.1,388.7,kepler
CONFIRMED,5.756245244,2.24,84.16,773.0,4931.0,0.734,0.794,,1.071,623.6,kepler
CONFIRMED,25.7626846,2.66,37.99,633.0,5739.0,1.069,1.002,,6.908,619.5,kepler
CONFIRMED,11.0317836,1.45,117.67,840.0,5739.0,1.069,1.002,,4.753,182.3,kepler
CONFIRMED,4.12511935,0.88,252.18,1016.0,5598.0,0.83,0.928,,2.877,114.7,kepler
CANDIDATE,4.22464216,4.31,631.55,1279.0,6343.0,1.14,1.213,,1.403,987.0,kepler
CONFIRMED,13.12162167,1.99,164.48,913.0,6140.0,1.277,1.094,,3.6138,196.9,kepler
CONFIRMED,49.6220669,3.33,20.99,546.0,5938.0,1.184,1.097,,7.222,505.5,kepler
CONFIRMED,8.08801663,2.94,92.93,792.0,5269.0,0.874,0.87,,1.8334,952.9,kepler
CONFIRMED,11.55103848,2.17,120.76,845.0,5907.0,1.058,1.014,,3.3601,402.8,kepler
CONFIRMED,4.469754641,2.26,350.69,1103.0,5988.0,0.934,1.021,,1.813,553.9,kepler
CONFIRMED,15.77382794,2.72,196.14,955.0,6283.0,1.531,1.15,,4.957,313.6,kepler
CONFIRMED,20.67876365,2.42,74.36,749.0,5865.0,1.272,1.088,,4.6395,323.9,kepler
