target_class,orbital_period,planetary_radius,insolation_flux,equilibrium_temp,stellar_temp,stellar_radius,stellar_mass,distance,transit_duration,transit_depth,data_source
CONFIRMED,6.164876,0.79,256.35,1021.0,5854.0,1.012,0.951,,3.262,55.8,kepler
CONFIRMED,29.1598615,1.91,17.85,524.0,5485.0,0.867,0.986,,4.803,488.0,kepler
FALSE POSITIVE,1.540397253,25.69,1105.68,1470.0,5663.0,0.915,1.034,,2.1541,816.1,kepler
FALSE POSITIVE,2.99025443,1.7,168.45,918.0,4667.0,0.731,0.737,,5.414,589.2,kepler
CONFIRMED,4.783002698,2.5,145.48,886.0,5170.0,0.807,0.891,,2.335,1008.7,kepler
CONFIRMED,20.50588921,3.41,17.06,518.0,4905.0,0.761,0.739,,4.0595,2105.5,kepler
FALSE POSITIVE,2.507089906,30.26,730.47,1326.0,5926.0,0.939,1.03,,2.0067,1339.2,kepler
CONFIRMED,18.64932728,3.12,57.13,701.0,5775.0,1.053,1.026,,4.4056,893.6,kepler
CONFIRMED,4.90144976,1.7,598.74,1262.0,5847.0,1.402,1.113,,4.1654,140.7,kepler
CONFIRMED,9.75192101,2.76,135.66,870.0,5775.0,1.053,1.026,,4.793,418.0,kepler
CONFIRMED,38.5576546,4.02,21.71,550.0,5775.0,1.053,1.026,,5.794,993.0,kepler
FALSE POSITIVE,3.747838198,13.65,266.76,1031.0,5514.0,0.826,0.926,,5.0642,616.0,kepler
CONFIRMED,14.74914825,2.89,137.91,874.0,5847.0,1.402,1.113,,6.0995,430.2,kepler
CONFIRMED,21.81295996,3.38,39.33,639.0,5601.0,0.999,0.934,,4.3791,1175.4,kepler
CONFIRMED,8.10363271,2.11,52.82,687.0,4861.0,0.732,0.733,,3.161,887.9,kepler
CONFIRMED,4.71510843,1.46,108.84,823.0,4861.0,0.732,0.733,,2.506,417.5,kepler
CONFIRMED,6.365839713,2.44,165.33,914.0,5776.0,0.849,0.939,,2.9721,780.7,kepler
FALSE POSITIVE,5.97581754,3.86,284.25,1047.0,6108.0,0.997,1.072,,3.065,962.4,kepler
FALSE POSITIVE,2.446737317,26.25,597.19,1261.0,5764.0,0.863,0.959,,4.7211,1177.9,kepler
CONFIRMED,7.95825328,1.06,314.15,1074.0,5847.0,1.402,1.113,,4.377,50.0,kepler
CONFIRMED,13.23352214,3.06,146.67,888.0,5739.0,1.384,1.083,,6.7372,504.6,kepler
CONFIRMED,6.15560285,2.32,406.94,1146.0,5739.0,1.384,1.083,,4.9843,285.0,kepler
CONFIRMED,2.090811305,1.62,1718.04,1642.0,5739.0,1.384,1.083,,3.388,115.9,kepler
CONFIRMED,3.180027898,1.53,1066.86,1458.0,5847.0,1.402,1.113,,3.5797,120.3,kepler
CONFIRMED,50.4467417,2.67,24.64,568.0,5739.0,1.384,1.083,,7.159,370.3,kepler
CONFIRMED,11.76307164,2.35,33.99,616.0,4959.0,0.756,0.849,,2.9076,1037.3,kepler
CONFIRMED,56.2279271,2.37,4.22,366.0,4959.0,0.756,0.849,,3.57,862.7,kepler
FALSE POSITIVE,2.384052875,17.06,244.87,1010.0,4794.0,0.701,0.683,,3.0918,1268.1,kepler
CONFIRMED,7.953547,2.25,55.37,696.0,4768.0,0.779,0.759,,2.6312,875.4,kepler
CONFIRMED,4.14451656,1.48,132.08,864.0,4768.0,0.779,0.759,,2.3421,391.8,kepler
CONFIRMED,3.76181843,2.66,372.62,1121.0,5653.0,0.949,0.974,,3.5176,510.6,kepler
CONFIRMED,8.20396958,3.01,71.5,742.0,5015.0,0.826,0.785,,2.9667,1024.4,kepler
CONFIRMED,14.49645186,3.01,33.48,613.0,5015.0,0.826,0.785,,4.016,647.5,kepler
CONFIRMED,6.54626149,2.19,101.78,810.0,5251.0,0.817,0.926,,2.75,655.9,kepler
CONFIRMED,12.71809866,2.31,23.6,562.0,4702.0,0.686,0.67,,3.0957,1149.4,kepler
CONFIRMED,36.06588163,2.64,5.88,397.0,4702.0,0.686,0.67,,4.3246,1563.8,kepler
CONFIRMED,3.709870784,4.35,415.1,1151.0,5727.0,0.978,1.013,,3.0694,2020.3,kepler
CONFIRMED,16.3297527,3.75,66.08,727.0,5878.0,0.987,0.989,,6.271,1187.5,kepler
CONFIRMED,24.99324319,2.29,60.88,712.0,5718.0,1.317,0.961,,5.9409,269.6,kepler
CONFIRMED,10.35533116,2.47,86.22,777.0,5501.0,0.918,0.891,,3.1775,750.6,kepler
CONFIRMED,16.08518937,3.68,33.43,613.0,5239.0,0.826,0.83,,3.984,1442.4,kepler
CONFIRMED,7.49018305,2.56,76.06,753.0,5103.0,0.787,0.823,,2.7297,1123.6,kepler
CONFIRMED,36.2761238,3.03,9.29,445.0,5103.0,0.787,0.823,,4.7865,1572.6,kepler
CONFIRMED,17.46087931,2.32,24.6,568.0,5103.0,0.787,0.823,,2.2641,812.4,kepler
CONFIRMED,5.715425977,2.47,123.03,850.0,5237.0,0.826,0.927,,2.5242,908.1,kepler
CONFIRMED,20.0261412,2.28,23.14,559.0,5237.0,0.826,0.927,,1.611,421.2,kepler
FALSE POSITIVE,10.44331991,2.66,46.94,667.0,4947.0,0.802,0.769,,2.743,1159.8,kepler
CONFIRMED,2.237489571,1.41,427.17,1160.0,5265.0,0.81,0.91,,1.8119,315.8,kepler
CONFIRMED,3.167893418,2.62,526.23,1221.0,5895.0,0.94,1.026,,2.1814,781.2,kepler
CONFIRMED,4.311780262,3.11,274.84,1038.0,5527.0,0.927,0.956,,2.7251,1154.0,kepler
CONFIRMED,20.0504494,2.69,35.44,622.0,5527.0,0.927,0.956,,4.556,840.9,kepler
CONFIRMED,9.76734503,2.67,92.46,791.0,5527.0,0.927,0.956,,1.6585,569.1,kepler
FALSE POSITIVE,2.861159894,4.37,797.1,1355.0,6126.0,1.021,1.09,,1.8832,1014.3,kepler
CONFIRMED,26.44439337,3.91,23.54,562.0,5427.0,0.929,0.915,,3.9783,1843.5,kepler
CONFIRMED,5.902245782,2.43,173.74,926.0,5427.0,0.929,0.915,,2.9003,702.3,kepler
CONFIRMED,2.382951591,1.86,583.01,1253.0,5427.0,0.929,0.915,,1.8876,391.6,kepler
CONFIRMED,21.02250608,3.07,17.48,521.0,5067.0,0.75,0.789,,4.1072,1772.5,kepler
CONFIRMED,3.219814777,1.69,234.93,998.0,5103.0,0.787,0.823,,2.0642,488.2,kepler
CONFIRMED,5.912273234,1.73,27.72,585.0,4072.0,0.57,0.586,,2.3254,961.4,kepler
CONFIRMED,8.98581901,1.65,15.9,509.0,4072.0,0.57,0.586,,2.8606,881.3,kepler
FALSE POSITIVE,20.5452375,2.41,71.57,742.0,5670.0,1.264,0.937,,2.517,218.5,kepler
CONFIRMED,6.76652928,1.97,120.48,845.0,5149.0,0.93,0.882,,2.9004,450.7,kepler
CONFIRMED,4.347288783,2.36,449.79,1174.0,5754.0,1.122,1.014,,2.1024,451.6,kepler
CONFIRMED,4.601811819,2.35,152.91,896.0,4986.0,0.833,0.793,,2.2607,755.9,kepler
CONFIRMED,11.18719905,1.55,46.65,667.0,4986.0,0.833,0.793,,3.252,353.6,kepler
CONFIRMED,5.95489993,2.33,38.52,635.0,4261.0,0.633,0.64,,2.3892,1410.7,kepler
CONFIRMED,12.03987488,2.18,15.06,502.0,4261.0,0.633,0.64,,2.7363,1250.6,kepler
CONFIRMED,20.83762895,1.42,7.24,418.0,4261.0,0.633,0.64,,2.3734,439.0,kepler
CONFIRMED,23.58917143,3.16,13.34,487.0,4919.0,0.721,0.697,,5.073,1200.7,kepler
CONFIRMED,6.481633073,2.54,406.25,1145.0,5945.0,1.302,1.009,,3.784,298.5,kepler
CONFIRMED,10.37168928,3.2,63.68,720.0,5121.0,0.888,0.822,,3.035,1254.9,kepler
CONFIRMED,3.96996298,1.78,229.37,992.0,5121.0,0.888,0.822,,1.1757,299.2,kepler
CONFIRMED,4.40841331,2.66,398.0,1139.0,6007.0,0.961,0.968,,5.012,549.4,kepler
FALSE POSITIVE,7.9426176,4.68,140.57,878.0,5811.0,0.926,1.036,,6.703,1590.7,kepler
CONFIRMED,11.523067458,3.13,174.81,927.0,5644.0,1.411,1.053,,3.8757,507.3,kepler
CONFIRMED,20.47748843,2.92,18.65,530.0,5097.0,0.779,0.891,,2.8364,1382.4,kepler
CONFIRMED,3.336123113,1.74,209.79,970.0,5097.0,0.779,0.891,,1.9616,516.3,kepler
CONFIRMED,7.41113177,2.45,158.11,905.0,5849.0,0.919,1.014,,2.5242,620.5,kepler
FALSE POSITIVE,1.000747038,4.14,1635.2,1620.0,5472.0,0.79,0.718,,0.9967,1823.5,kepler
CONFIRMED,10.00653012,3.52,139.21,876.0,6063.0,1.001,1.079,,5.344,936.1,kepler
CONFIRMED,2.211116989,1.85,177.19,931.0,4500.0,0.646,0.71,,1.6485,724.2,kepler
CONFIRMED,27.9541337,1.9,6.04,400.0,4500.0,0.646,0.71,,3.95,942.5,kepler
CONFIRMED,12.69104387,2.57,244.3,1008.0,5869.0,1.626,1.019,,3.7727,252.1,kepler
CONFIRMED,6.308201629,2.96,106.44,819.0,5191.0,0.837,0.937,,2.9785,1328.5,kepler
CONFIRMED,21.22261195,2.48,83.56,771.0,5945.0,1.302,1.009,,6.5093,366.0,kepler
CONFIRMED,13.81020318,4.56,113.75,833.0,5942.0,1.142,1.009,,3.048,1309.7,kepler
CONFIRMED,4.093578461,2.85,461.07,1182.0,6077.0,0.999,1.077,,2.5833,538.6,kepler
CONFIRMED,10.8484518,2.34,14.66,499.0,4201.0,0.591,0.609,,2.9993,1675.6,kepler
CONFIRMED,6.66833241,1.18,28.06,587.0,4201.0,0.591,0.609,,1.915,362.3,kepler
CANDIDATE,3.886655224,1.87,246.29,1010.0,5662.0,0.738,0.813,,3.1646,581.6,kepler
CONFIRMED,42.1406089,1.85,3.49,349.0,4500.0,0.646,0.71,,5.083,895.5,kepler
CONFIRMED,4.617490562,1.62,66.47,728.0,4500.0,0.646,0.71,,2.2618,575.8,kepler
CONFIRMED,10.19849255,1.75,23.11,559.0,4500.0,0.646,0.71,,2.4283,634.1,kepler
FALSE POSITIVE,5.795063956,4.33,192.74,950.0,5865.0,0.827,0.914,,3.2496,1692.9,kepler
CONFIRMED,7.15681552,2.47,88.23,782.0,5029.0,0.838,0.798,,2.5882,867.0,kepler
CONFIRMED,17.64830851,2.43,26.49,579.0,5029.0,0.838,0.798,,2.0873,763.3,kepler
CONFIRMED,4.14810719,1.08,182.76,938.0,5029.0,0.838,0.798,,2.535,175.2,kepler
CONFIRMED,16.51410989,2.72,43.57,655.0,5527.0,0.866,0.841,,4.1575,973.5,kepler
CONFIRMED,30.1329298,3.14,19.55,536.0,5527.0,0.866,0.841,,5.172,1015.8,kepler
CONFIRMED,4.79090809,1.36,227.24,990.0,5527.0,0.866,0.841,,2.603,251.3,kepler
CONFIRMED,31.71981013,3.09,71.97,743.0,5869.0,1.626,1.019,,4.819,363.4,kepler
CONFIRMED,5.392026903,2.68,123.33,850.0,5198.0,0.801,0.915,,2.9804,1151.4,kepler
CANDIDATE,2.494170338,2.42,480.19,1194.0,5569.0,0.829,0.928,,1.1221,863.7,kepler
FALSE POSITIVE,3.855599139,3.57,425.74,1158.0,5936.0,0.965,1.075,,3.183,1030.9,kepler
CONFIRMED,3.314947362,3.94,421.03,1155.0,5609.0,0.944,0.983,,1.8007,1398.2,kepler
FALSE POSITIVE,6.71969089,4.37,194.18,952.0,5931.0,0.866,0.825,,3.0231,969.7,kepler
CONFIRMED,21.80451611,2.6,20.48,543.0,5481.0,0.708,0.806,,3.4097,1144.9,kepler
CONFIRMED,10.28194593,2.53,50.6,680.0,5196.0,0.775,0.869,,3.4366,1110.7,kepler
CONFIRMED,18.11993039,2.95,23.77,563.0,5196.0,0.775,0.869,,4.2309,1506.9,kepler
CONFIRMED,3.78402867,1.7,191.78,949.0,5196.0,0.775,0.869,,1.9012,426.1,kepler
CONFIRMED,5.15448142,2.94,204.1,964.0,5431.0,0.884,0.816,,3.228,697.5,kepler
CONFIRMED,5.743469797,3.13,219.95,982.0,5897.0,0.891,0.983,,3.4412,1240.2,kepler
CANDIDATE,39.4759093,4.06,26.13,577.0,6225.0,1.031,1.091,,2.968,1012.6,kepler
CONFIRMED,3.166353562,3.82,621.92,1273.0,6007.0,0.998,1.072,,3.3129,1473.4,kepler
CONFIRMED,3.388012244,2.11,705.93,1315.0,5553.0,1.25,0.949,,2.6849,280.1,kepler
CONFIRMED,5.83909761,2.06,341.48,1097.0,5553.0,1.25,0.949,,3.1915,273.6,kepler
CONFIRMED,1.620467654,1.57,1893.42,1681.0,5553.0,1.25,0.949,,2.1888,159.6,kepler
CONFIRMED,10.6816951,2.3,152.75,897.0,5553.0,1.25,0.949,,3.605,307.8,kepler
CONFIRMED,6.104849417,3.18,89.25,784.0,5085.0,0.712,0.71,,4.6912,2090.3,kepler
FALSE POSITIVE,3.187067566,23.88,319.76,1079.0,5450.0,0.811,0.857,,3.119,1037.4,kepler
CONFIRMED,5.826657508,4.09,248.57,1013.0,5561.0,1.06,0.943,,2.9183,1539.1,kepler
CONFIRMED,12.41216347,2.58,90.65,787.0,5561.0,1.06,0.943,,3.739,611.3,kepler
CONFIRMED,18.74649011,3.05,52.38,686.0,5561.0,1.06,0.943,,3.895,796.8,kepler
CONFIRMED,20.86021229,5.5,87.76,781.0,6035.0,1.257,0.958,,5.1937,1910.5,kepler
CONFIRMED,42.63427848,5.22,33.82,615.0,6035.0,1.257,0.958,,6.1998,1719.3,kepler
CANDIDATE,9.61731426,1.94,246.13,1010.0,6035.0,1.257,0.958,,3.8692,234.0,kepler
CONFIRMED,20.83426731,2.74,29.62,595.0,5537.0,0.88,0.999,,4.0454,988.4,kepler
CONFIRMED,9.94602357,3.12,100.34,807.0,5344.0,1.013,0.867,,3.3862,994.5,kepler
CONFIRMED,1.04562195,1.45,2031.84,1710.0,5344.0,1.013,0.867,,1.8955,213.0,kepler
CONFIRMED,5.71462396,1.78,210.16,971.0,5344.0,1.013,0.867,,2.336,297.8,kepler
CONFIRMED,8.14515981,3.43,287.91,1050.0,5896.0,1.24,0.884,,5.073,446.8,kepler
CONFIRMED,4.24439049,2.07,686.99,1305.0,5896.0,1.24,0.884,,3.282,174.0,kepler
CONFIRMED,28.5742692,2.32,19.83,538.0,5551.0,0.812,0.776,,4.9427,824.9,kepler
CONFIRMED,7.34373964,1.84,117.5,839.0,5757.0,0.762,0.865,,1.1784,574.4,kepler
FALSE POSITIVE,1.303861044,27.85,1595.19,1610.0,5758.0,0.902,0.887,,4.0541,598.2,kepler
FALSE POSITIVE,0.890110752,1.25,838.42,1372.0,4768.0,0.711,0.815,,0.8774,321.5,kepler
CONFIRMED,7.42608123,2.47,273.78,1037.0,6049.0,1.176,1.14,,3.6379,443.3,kepler
CONFIRMED,15.9868932,1.62,98.51,803.0,6049.0,1.176,1.14,,4.158,178.5,kepler
FALSE POSITIVE,2.037440623,1.19,1448.05,1572.0,6253.0,1.015,0.975,,3.442,118.6,kepler
CONFIRMED,2.785821236,1.69,2388.98,1784.0,6202.0,1.733,1.162,,3.5599,68.9,kepler
CONFIRMED,1.269091415,1.41,740.47,1331.0,5041.0,0.766,0.807,,1.4647,340.9,kepler
CONFIRMED,2.853133997,1.36,251.77,1016.0,5041.0,0.766,0.807,,1.465,277.1,kepler
CONFIRMED,6.79685353,2.01,222.91,985.0,6061.0,0.97,1.05,,3.1702,393.1,kepler
CONFIRMED,8.7348852,1.59,148.62,890.0,5982.0,0.96,1.047,,4.49,270.7,kepler
FALSE POSITIVE,10.26547688,1.81,83.13,770.0,5699.0,0.853,0.95,,3.733,399.6,kepler
CANDIDATE,13.4471791,5.24,122.34,848.0,6276.0,1.041,1.001,,3.0454,1428.2,kepler
