target_class,orbital_period,planetary_radius,insolation_flux,equilibrium_temp,stellar_temp,stellar_radius,stellar_mass,distance,transit_duration,transit_depth,data_source,earth_similarity_score,similarity_breakdown,earth_similarity_category
CONFIRMED,41.19725502,3.86,8.76,439.0,5031.0,0.848,0.801,,4.6297,2213.9,kepler,60.106039070526506,"{'planetary_radius': 0.8649332816523261, 'insolation_flux': 0.56596081901034, 'equilibrium_temp': 0, 'orbital_period': 0.8908894788888462, 'stellar_temp': 0.6265000000000001, 'stellar_radius': 0.9670250713619531}",High
CONFIRMED,6.252962249,2.65,108.3,823.0,5031.0,0.848,0.801,,2.5819,1036.9,kepler,47.718157297117656,"{'planetary_radius': 0.902544036000187, 'insolation_flux': 0.06301896919861105, 'equilibrium_temp': 0, 'orbital_period': 0.7966236630337007, 'stellar_temp': 0.6265000000000001, 'stellar_radius': 0.9670250713619531}",Moderate
CONFIRMED,16.01308419,3.1,29.31,593.0,5015.0,0.826,0.785,,3.2554,1121.9,kepler,54.14640143610099,"{'planetary_radius': 0.8868597888508899, 'insolation_flux': 0.3244142490554398, 'equilibrium_temp': 0, 'orbital_period': 0.8436412049649453, 'stellar_temp': 0.6185, 'stellar_radius': 0.9617678989077681}",Moderate
CONFIRMED,32.62876672,3.36,15.55,506.0,5586.0,0.798,0.844,,4.7971,1804.8,kepler,60.25053333509951,"{'planetary_radius': 0.8788059026024887, 'insolation_flux': 0.4511878722749514, 'equilibrium_temp': 0, 'orbital_period': 0.8792306131683394, 'stellar_temp': 0.904, 'stellar_radius': 0.9548706636935343}",High
FALSE POSITIVE,2.701287801,6.54,527.81,1222.0,5550.0,0.91,0.889,,3.3827,860.4,kepler,45.67845111012242,"{'planetary_radius': 0.8122062834530892, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7546573286000977, 'stellar_temp': 0.886, 'stellar_radius': 0.9811378641057518}",Moderate
CONFIRMED,4.49876511,2.1,389.62,1133.0,6075.0,0.969,1.048,,3.7362,460.0,kepler,49.0593077429632,"{'planetary_radius': 0.9258062655270622, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7801610444242704, 'stellar_temp': 0.8515, 'stellar_radius': 0.9937018665817259}",Moderate
CONFIRMED,5.412203927,2.94,337.68,1093.0,5779.0,1.087,0.941,,2.9472,601.6,kepler,49.57038681755546,"{'planetary_radius': 0.892159041864941, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.78940371697463, 'stellar_temp': 0.9995, 'stellar_radius': 0.9833156783721855}",Moderate
CONFIRMED,8.35389523,2.52,91.9,790.0,5592.0,0.787,0.862,,2.2514,1041.6,kepler,51.565264055091035,"{'planetary_radius': 0.9075741098476668, 'insolation_flux': 0.09585979412767165, 'equilibrium_temp': 0, 'orbital_period': 0.8111072937033975, 'stellar_temp': 0.907, 'stellar_radius': 0.9520945938870532}",Moderate
CONFIRMED,4.125543472,4.43,565.35,1243.0,6174.0,1.103,1.162,,3.1744,1487.3,kepler,46.215075363190174,"{'planetary_radius': 0.8511600415942956, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7758307855632671, 'stellar_temp': 0.802, 'stellar_radius': 0.9803932519457269}",Moderate
CONFIRMED,3.689920099,1.89,408.99,1147.0,5880.0,0.917,1.01,,2.6557,426.7,kepler,50.19613308295949,"{'planetary_radius': 0.9363423170928449, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7702511376899828, 'stellar_temp': 0.949, 'stellar_radius': 0.9826704386548656}",Moderate
CONFIRMED,4.431238488,3.25,351.23,1104.0,5714.0,1.015,1.007,,3.15,1010.9,kepler,48.9231949298571,"{'planetary_radius': 0.8821345003658354, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7794048531375782, 'stellar_temp': 0.968, 'stellar_radius': 0.9970222775012499}",Moderate
CONFIRMED,11.37936986,3.95,99.68,806.0,5714.0,1.015,1.007,,2.6255,1023.5,kepler,50.79974937754683,"{'planetary_radius': 0.8626284421086969, 'insolation_flux': 0.07960698899217145, 'equilibrium_temp': 0, 'orbital_period': 0.826561000197539, 'stellar_temp': 0.968, 'stellar_radius': 0.9970222775012499}",Moderate
CONFIRMED,26.39432897,3.07,13.49,489.0,5129.0,0.763,0.846,,3.573,1510.9,kepler,58.79601027875852,"{'planetary_radius': 0.8878322438400894, 'insolation_flux': 0.47961026595606715, 'equilibrium_temp': 0, 'orbital_period': 0.8686283562351845, 'stellar_temp': 0.6755, 'stellar_radius': 0.945900550460464}",Moderate
CONFIRMED,13.57078281,2.64,89.61,785.0,5854.0,1.012,0.951,,3.3539,511.7,kepler,52.572068627360046,"{'planetary_radius': 0.9029221082841775, 'insolation_flux': 0.10090661582077443, 'equilibrium_temp': 0, 'orbital_period': 0.8353668554180643, 'stellar_temp': 0.962, 'stellar_radius': 0.9976142858269452}",Moderate
CONFIRMED,7.12594387,1.79,233.31,997.0,5779.0,1.087,0.941,,3.0014,192.4,kepler,51.196511602169224,"{'planetary_radius': 0.9417784380147336, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.8031580069866295, 'stellar_temp': 0.9995, 'stellar_radius': 0.9833156783721855}",Moderate
CONFIRMED,16.38489988,2.0,8.35,433.0,4126.0,0.615,0.633,,3.0249,1127.1,kepler,57.01100681334792,"{'planetary_radius': 0.9306852819440055, 'insolation_flux': 0.5755476922274472, 'equilibrium_temp': 0, 'orbital_period': 0.8447889060517204, 'stellar_temp': 0.17400000000000004, 'stellar_radius': 0.9027733977648762}",Moderate
CONFIRMED,7.8774163,2.16,22.18,553.0,4126.0,0.615,0.633,,2.0805,1306.1,kepler,51.5292963735069,"{'planetary_radius': 0.9229891778303926, 'insolation_flux': 0.38016180361555585, 'equilibrium_temp': 0, 'orbital_period': 0.8081708959381844, 'stellar_temp': 0.17400000000000004, 'stellar_radius': 0.9027733977648762}",Moderate
CONFIRMED,36.4454001,1.99,2.88,332.0,4126.0,0.615,0.633,,4.007,1122.3,kepler,67.34812820304062,"{'planetary_radius': 0.9311865361263599, 'insolation_flux': 0.7884419411704291, 'equilibrium_temp': 0.22999999999999998, 'orbital_period': 0.8847616601164708, 'stellar_temp': 0.17400000000000004, 'stellar_radius': 0.9027733977648762}",High
CONFIRMED,2.243380573,1.99,107.6,822.0,4149.0,0.564,0.578,,1.1196,821.7,kepler,43.27949274863675,"{'planetary_radius': 0.9311865361263599, 'insolation_flux': 0.06431587045446319, 'equilibrium_temp': 0, 'orbital_period': 0.7453700930968449, 'stellar_temp': 0.1855, 'stellar_radius': 0.8854597945031843}",Moderate
CONFIRMED,2.337437946,2.34,311.16,1070.0,5005.0,0.765,0.85,,1.9982,971.2,kepler,45.790904458751434,"{'planetary_radius': 0.914984907063039, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.747423669201587, 'stellar_temp': 0.6134999999999999, 'stellar_radius': 0.9464241109688798}",Moderate
