target_class,orbital_period,planetary_radius,insolation_flux,equilibrium_temp,stellar_temp,stellar_radius,stellar_mass,distance,transit_duration,transit_depth,data_source,earth_similarity_score,similarity_breakdown,earth_similarity_category
FALSE POSITIVE,11.7761073,1.31,34.75,619.0,5096.0,0.689,0.719,,2.829,281.3,kepler,55.94925203187179,"{'planetary_radius': 0.972997286278694, 'insolation_flux': 0.29036408559783977, 'equilibrium_temp': 0, 'orbital_period': 0.8282745311533459, 'stellar_temp': 0.659, 'stellar_radius': 0.9254971984063043}",Moderate
CONFIRMED,19.9401211,2.42,28.29,588.0,5623.0,0.763,0.853,,4.283,758.9,kepler,58.136734098781204,"{'planetary_radius': 0.9116232459831405, 'insolation_flux': 0.33149832293730486, 'equilibrium_temp': 0, 'orbital_period': 0.854607589355205, 'stellar_temp': 0.9225, 'stellar_radius': 0.945900550460464}",Moderate
CONFIRMED,3.88148385,0.59,423.0,1156.0,5854.0,0.979,1.03,,2.679,36.3,kepler,50.74369587003203,"{'planetary_radius': 0.9472367257917628, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7727817732730771, 'stellar_temp': 0.962, 'stellar_radius': 0.9957552727096747}",Moderate
CONFIRMED,0.577369336,1.42,2239.26,1757.0,5255.0,0.716,0.776,,1.0852,400.4,kepler,47.77402668772607,"{'planetary_radius': 0.964934312838683, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.677507241458707, 'stellar_temp': 0.7384999999999999, 'stellar_radius': 0.9331849775957017}",Moderate
CONFIRMED,12.720370263,4.75,180.23,934.0,6267.0,1.258,1.097,,2.7306,1180.1,kepler,45.972354295374075,"{'planetary_radius': 0.844185538195345, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.8321311307791965, 'stellar_temp': 0.7555000000000001, 'stellar_radius': 0.9540953683443503}",Moderate
CONFIRMED,11.96407399,3.21,100.96,808.0,5903.0,0.961,0.922,,4.526,784.2,kepler,51.05344746185,"{'planetary_radius': 0.8833729062858076, 'insolation_flux': 0.07705512024141947, 'equilibrium_temp': 0, 'orbital_period': 0.8290663137252131, 'stellar_temp': 0.9375, 'stellar_radius': 0.9920438259976311}",Moderate
CONFIRMED,12.90467523,1.49,20.91,545.0,4513.0,0.722,0.712,,3.28,412.4,kepler,55.280307740840094,"{'planetary_radius': 0.9601223880042632, 'insolation_flux': 0.3919544973118916, 'equilibrium_temp': 0, 'orbital_period': 0.8328503808004224, 'stellar_temp': 0.36750000000000005, 'stellar_radius': 0.9348539719821378}",Moderate
CONFIRMED,68.8861017,1.47,14.91,501.0,5753.0,1.222,0.863,,5.925,143.9,kepler,64.17449948802546,"{'planetary_radius': 0.9614737599209355, 'insolation_flux': 0.4595935742446706, 'equilibrium_temp': 0, 'orbital_period': 0.9165936195030032, 'stellar_temp': 0.9875, 'stellar_radius': 0.9599022278501192}",High
CONFIRMED,9.99115241,1.68,44.77,660.0,4838.0,0.796,0.771,,2.657,391.7,kepler,52.70833011121886,"{'planetary_radius': 0.9481206206584832, 'insolation_flux': 0.2396923455494251, 'equilibrium_temp': 0, 'orbital_period': 0.8200558945866488, 'stellar_temp': 0.53, 'stellar_radius': 0.9543687813724492}",Moderate
CANDIDATE,4.267961416,1.42,834.16,1371.0,6395.0,1.237,1.048,,1.3427,127.4,kepler,48.4256174129841,"{'planetary_radius': 0.964934312838683, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7775277121233964, 'stellar_temp': 0.6915, 'stellar_radius': 0.9574621813179298}",Moderate
FALSE POSITIVE,1.867281146,31.18,1405.94,1561.0,6117.0,1.025,1.095,,7.495,701.1,kepler,40.32292749133559,"{'planetary_radius': 0.6560223136370369, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7361950694814858, 'stellar_temp': 0.8305, 'stellar_radius': 0.9950614774819257}",Moderate
CONFIRMED,9.30991834,1.21,164.38,913.0,5806.0,1.101,0.996,,3.455,114.5,kepler,52.35716919813649,"{'planetary_radius': 0.980937964039135, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.8165249134702975, 'stellar_temp': 0.986, 'stellar_radius': 0.9807562284518914}",Moderate
CANDIDATE,18.1209388,1.68,20.58,543.0,4905.0,0.774,0.75,,3.781,504.2,kepler,57.19907959173079,"{'planetary_radius': 0.9481206206584832, 'insolation_flux': 0.39513605391881934, 'equilibrium_temp': 0, 'orbital_period': 0.8498243029398225, 'stellar_temp': 0.5635, 'stellar_radius': 0.948763318921518}",Moderate
CONFIRMED,3.23941775,0.77,511.14,1213.0,6075.0,0.858,0.934,,2.569,77.4,kepler,50.21516030621965,"{'planetary_radius': 0.9738635235865593, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7637405778117052, 'stellar_temp': 0.8515, 'stellar_radius': 0.969369764101165}",Moderate
CANDIDATE,3.98864999,1.15,547.73,1233.0,5692.0,1.188,0.997,,3.516,94.2,kepler,51.71987833925773,"{'planetary_radius': 0.9860238057624842, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7741435387323655, 'stellar_temp': 0.957, 'stellar_radius': 0.9655457558119094}",Moderate
CONFIRMED,2.524017517,1.5,495.14,1203.0,5420.0,0.871,0.849,,1.1968,303.0,kepler,49.36812629064507,"{'planetary_radius': 0.9594534891891836, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7512634917099201, 'stellar_temp': 0.821, 'stellar_radius': 0.9723773395740731}",Moderate
CANDIDATE,25.1123362,2.22,53.73,691.0,6133.0,1.112,1.049,,7.922,398.8,kepler,54.467849271235835,"{'planetary_radius': 0.9202492804115812, 'insolation_flux': 0.20320569905185404, 'equilibrium_temp': 0, 'orbital_period': 0.8661388578420444, 'stellar_temp': 0.8225, 'stellar_radius': 0.9787679608343218}",Moderate
CANDIDATE,2.121023807,5.75,1446.5,1573.0,6133.0,1.112,1.049,,0.3673,263.9,kepler,45.29689866439942,"{'planetary_radius': 0.8250800145190741, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7425658424655592, 'stellar_temp': 0.8225, 'stellar_radius': 0.9787679608343218}",Moderate
CANDIDATE,3.55557922,0.84,615.03,1270.0,5839.0,1.082,0.926,,3.24,60.4,kepler,51.77709662335914,"{'planetary_radius': 0.9825646612855222, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7683967965217775, 'stellar_temp': 0.9695, 'stellar_radius': 0.9842377639151421}",Moderate
CONFIRMED,31.2012202,1.47,6.44,406.0,4513.0,0.722,0.712,,4.077,360.1,kepler,61.650777533154574,"{'planetary_radius': 0.9614737599209355, 'insolation_flux': 0.6274942919767476, 'equilibrium_temp': 0, 'orbital_period': 0.8769937576197125, 'stellar_temp': 0.36750000000000005, 'stellar_radius': 0.9348539719821378}",High
CONFIRMED,22.5968256,1.3,47.7,670.0,5610.0,1.104,0.889,,6.179,142.9,kepler,57.557923962073644,"{'planetary_radius': 0.9737635735532509, 'insolation_flux': 0.22701372042114087, 'equilibrium_temp': 0, 'orbital_period': 0.8608613692802493, 'stellar_temp': 0.916, 'stellar_radius': 0.9802120104290193}",Moderate
CONFIRMED,45.3486381,1.61,18.84,531.0,5610.0,1.104,0.889,,4.858,162.9,kepler,61.90934521671909,"{'planetary_radius': 0.9523765821003628, 'insolation_flux': 0.41280354617035653, 'equilibrium_temp': 0, 'orbital_period': 0.8956899047304199, 'stellar_temp': 0.916, 'stellar_radius': 0.9802120104290193}",High
CONFIRMED,5.25419589,2.12,338.15,1093.0,6123.0,0.987,1.053,,2.9878,461.8,kepler,48.88688895635539,"{'planetary_radius': 0.9248583911316078, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7879222461955813, 'stellar_temp': 0.8275, 'stellar_radius': 0.997382952090269}",Moderate
CONFIRMED,5.90608902,1.77,247.83,1012.0,5966.0,0.961,1.049,,2.409,340.7,kepler,50.24498139292326,"{'planetary_radius': 0.9429020453414262, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7937700902692322, 'stellar_temp': 0.906, 'stellar_radius': 0.9920438259976311}",Moderate
CONFIRMED,12.4128518,1.5,179.24,933.0,5945.0,1.346,1.039,,4.298,108.1,kepler,50.96054260482078,"{'planetary_radius': 0.9594534891891836, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.8309075160367811, 'stellar_temp': 0.9165, 'stellar_radius': 0.9405725537554928}",Moderate
CONFIRMED,3.92453009,1.82,314.25,1074.0,5776.0,0.849,0.939,,3.691,463.5,kepler,50.76312668963474,"{'planetary_radius': 0.9401163498911296, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7733332285571641, 'stellar_temp': 0.999, 'stellar_radius': 0.967260781465842}",Moderate
CONFIRMED,11.60653061,1.88,27.47,584.0,4703.0,0.701,0.686,,2.194,771.7,kepler,54.08595771333415,"{'planetary_radius': 0.9368728223158143, 'insolation_flux': 0.3373810999785636, 'equilibrium_temp': 0, 'orbital_period': 0.8275492936343187, 'stellar_temp': 0.4625, 'stellar_radius': 0.9289505216104906}",Moderate
CONFIRMED,2.66831274,1.48,581.38,1252.0,5806.0,0.899,0.996,,2.4141,266.2,kepler,51.117833636883184,"{'planetary_radius': 0.9607957912223977, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7540432144721763, 'stellar_temp': 0.986, 'stellar_radius': 0.9787055510978967}",Moderate
FALSE POSITIVE,2.9322509,1.33,700.81,1312.0,6106.0,0.966,1.043,,2.931,181.2,kepler,50.05746587988947,"{'planetary_radius': 0.9714821057766337, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.758759415136008, 'stellar_temp': 0.836, 'stellar_radius': 0.9930817110460762}",Moderate
CONFIRMED,23.4772553,1.34,70.05,738.0,6384.0,1.121,1.046,,6.735,141.4,kepler,53.35944867123958,"{'planetary_radius': 0.970733038603718, 'insolation_flux': 0.15015814544339678, 'equilibrium_temp': 0, 'orbital_period': 0.8627725021133161, 'stellar_temp': 0.6970000000000001, 'stellar_radius': 0.9771557711819955}",Moderate
FALSE POSITIVE,2.01948607,2.15,988.37,1430.0,5884.0,0.944,0.985,,5.248,275.4,kepler,49.517097864554536,"{'planetary_radius': 0.9234532157860429, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7401130503809883, 'stellar_temp': 0.947, 'stellar_radius': 0.9884741774326727}",Moderate
FALSE POSITIVE,3.04468229,0.86,566.03,1244.0,5575.0,0.98,0.81,,5.951,71.4,kepler,51.11873587689273,"{'planetary_radius': 0.9849177110265417, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7606407253413997, 'stellar_temp': 0.8985, 'stellar_radius': 0.9959594585364961}",Moderate
FALSE POSITIVE,15.05028313,2.46,69.16,735.0,5887.0,0.989,1.102,,1.848,615.2,kepler,53.96674907523816,"{'planetary_radius': 0.9099838650055728, 'insolation_flux': 0.15271546783698198, 'equilibrium_temp': 0, 'orbital_period': 0.8405407376505853, 'stellar_temp': 0.9455, 'stellar_radius': 0.997787810528115}",Moderate
CONFIRMED,9.08233411,1.35,68.75,734.0,5354.0,0.788,0.884,,2.008,296.9,kepler,53.741919935551664,"{'planetary_radius': 0.9699895407549661, 'insolation_flux': 0.15390465269066378, 'equilibrium_temp': 0, 'orbital_period': 0.8152874584760337, 'stellar_temp': 0.788, 'stellar_radius': 0.9523485621751484}",Moderate
FALSE POSITIVE,0.790539912,1.24,1200.65,1502.0,4791.0,0.767,0.747,,1.0567,277.3,kepler,46.08658679119708,"{'planetary_radius': 0.9784888620383054, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.6932189407662797, 'stellar_temp': 0.5065, 'stellar_radius': 0.9469463044770239}",Moderate
FALSE POSITIVE,1.705782214,1.82,1060.41,1455.0,5387.0,1.009,0.89,,1.007,278.0,kepler,48.55625162108165,"{'planetary_radius': 0.9401163498911296, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.731672086571924, 'stellar_temp': 0.8045, 'stellar_radius': 0.9982080517257056}",Moderate
FALSE POSITIVE,0.532086296,16.99,2417.28,1790.0,5271.0,0.698,0.773,,4.023,495.8,kepler,40.34182319527887,"{'planetary_radius': 0.7167375064316159, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.6734234178550155, 'stellar_temp': 0.7464999999999999, 'stellar_radius': 0.9280927647560471}",Moderate
CONFIRMED,47.7052566,2.89,3.42,347.0,4551.0,0.672,0.669,,5.959,1161.5,kepler,64.71776057102024,"{'planetary_radius': 0.893874349787566, 'insolation_flux': 0.7540718897850972, 'equilibrium_temp': 0.07999999999999996, 'orbital_period': 0.8982229771224818, 'stellar_temp': 0.38649999999999995, 'stellar_radius': 0.9205006123082025}",High
CONFIRMED,6.238535444,2.53,465.61,1185.0,6267.0,1.258,1.097,,3.5255,401.6,kepler,47.50590063336143,"{'planetary_radius': 0.9071780697260571, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.796508169985797, 'stellar_temp': 0.7555000000000001, 'stellar_radius': 0.9540953683443503}",Moderate
CONFIRMED,9.95667035,3.41,189.48,946.0,6165.0,1.115,1.048,,3.534,586.8,kepler,47.47483905263435,"{'planetary_radius': 0.8773287708704575, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.8198830331432712, 'stellar_temp': 0.8065, 'stellar_radius': 0.9782291190175836}",Moderate
CONFIRMED,10.41728722,1.64,135.34,870.0,5557.0,1.151,0.936,,4.125,210.4,kepler,50.95277179484607,"{'planetary_radius': 0.9505303758163893, 'insolation_flux': 0.018441973839184, 'equilibrium_temp': 0, 'orbital_period': 0.8221442304114542, 'stellar_temp': 0.8895, 'stellar_radius': 0.9718737740520509}",Moderate
CONFIRMED,0.663085361,1.6,1894.94,1681.0,5172.0,0.767,0.878,,1.1522,322.7,kepler,47.139003835602075,"{'planetary_radius': 0.9529996370754265, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.6844283200954161, 'stellar_temp': 0.6970000000000001, 'stellar_radius': 0.9469463044770239}",Moderate
CONFIRMED,19.1187425,2.33,108.48,823.0,5862.0,1.463,1.097,,6.805,217.5,kepler,51.75412049726933,"{'planetary_radius': 0.915413173242239, 'insolation_flux': 0.06268683516158302, 'equilibrium_temp': 0, 'orbital_period': 0.8525043543000566, 'stellar_temp': 0.958, 'stellar_radius': 0.9239021755924025}",Moderate
FALSE POSITIVE,1.183818383,0.91,2337.65,1775.0,6014.0,0.992,1.029,,1.393,84.3,kepler,50.66311733055334,"{'planetary_radius': 0.9905689320528759, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7134081540664324, 'stellar_temp': 0.882, 'stellar_radius': 0.9983935656605472}",Moderate
FALSE POSITIVE,4.98845099,1.33,292.71,1055.0,5695.0,0.961,0.868,,7.453,193.9,kepler,51.54295399733506,"{'planetary_radius': 0.9714821057766337, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7853271694047891, 'stellar_temp': 0.9585, 'stellar_radius': 0.9920438259976311}",Moderate
CANDIDATE,8.28157072,1.37,197.82,956.0,5640.0,1.175,0.976,,3.1,139.2,kepler,51.31102493301307,"{'planetary_radius': 0.9685189260159967, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.8106725300129295, 'stellar_temp': 0.931, 'stellar_radius': 0.9677463704807755}",Moderate
CANDIDATE,0.82628442,0.96,1654.69,1629.0,5218.0,0.829,0.886,,0.9603,134.9,kepler,48.844299751981936,"{'planetary_radius': 0.9959178005479745, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.6954300859389536, 'stellar_temp': 0.72, 'stellar_radius': 0.9624929752306316}",Moderate
CANDIDATE,6.37705295,2.15,180.66,935.0,5672.0,0.965,1.08,,1.949,502.8,kepler,50.114031305910764,"{'planetary_radius': 0.9234532157860429, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7976062009972629, 'stellar_temp': 0.947, 'stellar_radius': 0.9928745644713698}",Moderate
CONFIRMED,8.83929462,1.94,86.5,778.0,5330.0,0.87,0.855,,1.719,316.2,kepler,51.4712644581103,"{'planetary_radius': 0.9337312026924763, 'insolation_flux': 0.10797111721243324, 'equilibrium_temp': 0, 'orbital_period': 0.8139312514358688, 'stellar_temp': 0.776, 'stellar_radius': 0.9721475865332985}",Moderate
CONFIRMED,7.56126152,1.2,149.17,891.0,5853.0,0.895,0.99,,2.851,180.6,kepler,52.02833176559316,"{'planetary_radius': 0.9817678443206045, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.8061227996682315, 'stellar_temp': 0.9625, 'stellar_radius': 0.9778136878585437}",Moderate
CONFIRMED,26.7838935,1.59,17.69,523.0,5242.0,0.856,0.869,,4.584,365.3,kepler,60.10192484131165,"{'planetary_radius': 0.953626598376786, 'insolation_flux': 0.4254000983656612, 'equilibrium_temp': 0, 'orbital_period': 0.8693609333706935, 'stellar_temp': 0.732, 'stellar_radius': 0.968903019431921}",High
CONFIRMED,45.126216,2.32,31.54,604.0,6499.0,1.169,1.191,,6.656,373.1,kepler,55.41230750931475,"{'planetary_radius': 0.9158432814321782, 'insolation_flux': 0.30974868369302155, 'equilibrium_temp': 0, 'orbital_period': 0.8954440656513791, 'stellar_temp': 0.6395, 'stellar_radius': 0.9687702635020137}",Moderate
CONFIRMED,11.94019101,1.86,35.99,625.0,5073.0,0.748,0.856,,2.866,631.7,kepler,54.69637665270888,"{'planetary_radius': 0.937942351227489, 'insolation_flux': 0.2833517755818121, 'equilibrium_temp': 0, 'orbital_period': 0.8289664027346563, 'stellar_temp': 0.6475, 'stellar_radius': 0.941929539798468}",Moderate
FALSE POSITIVE,3.51295674,1.1,999.6,1434.0,6453.0,1.17,1.053,,3.06,83.1,kepler,48.86000371593523,"{'planetary_radius': 0.9904689820195675, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7677938004157873, 'stellar_temp': 0.6625, 'stellar_radius': 0.968599250238067}",Moderate
CONFIRMED,48.4313003,2.78,5.81,396.0,4891.0,0.805,0.776,,4.03,886.4,kepler,62.47261348825188,"{'planetary_radius': 0.8977549072297455, 'insolation_flux': 0.6480838858272361, 'equilibrium_temp': 0, 'orbital_period': 0.89897821272422, 'stellar_temp': 0.5565, 'stellar_radius': 0.9566173996872853}",High
CONFIRMED,6.73808701,0.73,90.19,786.0,5168.0,0.769,0.793,,2.591,92.9,kepler,51.23720767891511,"{'planetary_radius': 0.96852892551603, 'insolation_flux': 0.0996162887644767, 'equilibrium_temp': 0, 'orbital_period': 0.8003597003798786, 'stellar_temp': 0.6950000000000001, 'stellar_radius': 0.9474671381047014}",Moderate
FALSE POSITIVE,7.57571414,2.45,315.8,1075.0,6418.0,1.171,1.241,,2.357,418.5,kepler,47.01606062782877,"{'planetary_radius': 0.9103911975443364, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.806218278611426, 'stellar_temp': 0.6799999999999999, 'stellar_radius': 0.968428383076884}",Moderate
FALSE POSITIVE,12.07760884,1.03,59.51,708.0,5370.0,0.845,0.771,,2.233,151.0,kepler,55.5675687026535,"{'planetary_radius': 0.9970441197758455, 'insolation_flux': 0.18277112686864783, 'equilibrium_temp': 0, 'orbital_period': 0.8295385589286904, 'stellar_temp': 0.796, 'stellar_radius': 0.9663162696750074}",Moderate
CANDIDATE,13.33094869,25.95,104.37,815.0,5991.0,1.039,0.976,,1.426,725.6,kepler,44.23326819517229,"{'planetary_radius': 0.6743828390388102, 'insolation_flux': 0.07041154443360786, 'equilibrium_temp': 0, 'orbital_period': 0.8344753125284881, 'stellar_temp': 0.8935, 'stellar_radius': 0.992348257576582}",Moderate
FALSE POSITIVE,6.38315744,2.35,91.0,787.0,5262.0,0.714,0.786,,1.7075,1112.6,kepler,49.94212457673334,"{'planetary_radius': 0.9145584671843933, 'insolation_flux': 0.09782809869663, 'equilibrium_temp': 0, 'orbital_period': 0.7976540410428352, 'stellar_temp': 0.742, 'stellar_radius': 0.9326255366714895}",Moderate
CONFIRMED,16.1289679,2.94,61.87,715.0,5392.0,1.087,0.888,,6.271,389.0,kepler,52.56619002664381,"{'planetary_radius': 0.892159041864941, 'insolation_flux': 0.17499291809142048, 'equilibrium_temp': 0, 'orbital_period': 0.8440017426549138, 'stellar_temp': 0.8069999999999999, 'stellar_radius': 0.9833156783721855}",Moderate
CONFIRMED,13.5631157,1.75,68.41,733.0,5853.0,0.895,0.99,,5.438,336.4,kepler,55.061012000059165,"{'planetary_radius': 0.9440384212064578, 'insolation_flux': 0.15489619744541872, 'equilibrium_temp': 0, 'orbital_period': 0.8353385988437234, 'stellar_temp': 0.9625, 'stellar_radius': 0.9778136878585437}",Moderate
CONFIRMED,16.2959916,1.83,49.81,678.0,5495.0,0.961,0.932,,2.116,369.6,kepler,55.63636095041703,"{'planetary_radius': 0.9395684033146671, 'insolation_flux': 0.21835684658296162, 'equilibrium_temp': 0, 'orbital_period': 0.8445168556414823, 'stellar_temp': 0.8585, 'stellar_radius': 0.9920438259976311}",Moderate
CONFIRMED,4.16056658,0.7,222.54,985.0,5481.0,0.815,0.914,,2.61,75.8,kepler,50.00294260818441,"{'planetary_radius': 0.9643325056061267, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7762534605741881, 'stellar_temp': 0.8515, 'stellar_radius': 0.9590865668517451}",Moderate
FALSE POSITIVE,2.93101771,1.15,390.28,1134.0,5485.0,0.788,0.716,,2.231,199.1,kepler,50.46484081044331,"{'planetary_radius': 0.9860238057624842, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7587383826693036, 'stellar_temp': 0.8535, 'stellar_radius': 0.9523485621751484}",Moderate
CONFIRMED,39.79220077,1.9,10.38,458.0,5437.0,0.781,0.829,,4.466,610.4,kepler,63.314398264603675,"{'planetary_radius': 0.9358146113827606, 'insolation_flux': 0.5320238244524516, 'equilibrium_temp': 0, 'orbital_period': 0.8891544440952021, 'stellar_temp': 0.8295, 'stellar_radius': 0.9505639741715098}",High
FALSE POSITIVE,16.2276756,2.11,41.57,648.0,5328.0,0.883,0.796,,3.699,525.8,kepler,55.19168036502171,"{'planetary_radius': 0.9253312052512025, 'insolation_flux': 0.2545242493470907, 'equilibrium_temp': 0, 'orbital_period': 0.8443068052186544, 'stellar_temp': 0.775, 'stellar_radius': 0.9751139843243646}",Moderate
FALSE POSITIVE,1.595630597,17.94,778.05,1346.0,5632.0,0.729,0.816,,1.793,259.6,kepler,42.5761633661811,"{'planetary_radius': 0.711296714336935, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7283343483046532, 'stellar_temp': 0.927, 'stellar_radius': 0.9367836906053042}",Moderate
CONFIRMED,14.8200596,0.96,21.92,552.0,4825.0,0.732,0.785,,3.902,184.9,kepler,57.76126173643008,"{'planetary_radius': 0.9959178005479745, 'insolation_flux': 0.382520107584037, 'equilibrium_temp': 0, 'orbital_period': 0.8397699795410745, 'stellar_temp': 0.5235000000000001, 'stellar_radius': 0.9376050469958349}",Moderate
CONFIRMED,20.49041,2.34,36.01,625.0,5681.0,0.923,1.038,,4.369,661.8,kepler,57.52512523969829,"{'planetary_radius': 0.914984907063039, 'insolation_flux': 0.28324066446784324, 'equilibrium_temp': 0, 'orbital_period': 0.8559687460590333, 'stellar_temp': 0.9515, 'stellar_radius': 0.983974791104143}",Moderate
CONFIRMED,8.679037,1.79,191.84,949.0,6117.0,1.027,1.008,,2.864,301.6,kepler,49.66187547308867,"{'planetary_radius': 0.9417784380147336, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.8130164263593085, 'stellar_temp': 0.8305, 'stellar_radius': 0.9946716138107158}",Moderate
CONFIRMED,11.1296971,1.93,119.44,843.0,6122.0,0.964,1.041,,2.942,371.0,kepler,50.611222690499034,"{'planetary_radius': 0.9342479997083206, 'insolation_flux': 0.04343716935381303, 'equilibrium_temp': 0, 'orbital_period': 0.8254517449775683, 'stellar_temp': 0.8280000000000001, 'stellar_radius': 0.9926672031256817}",Moderate
CONFIRMED,2.7296036,1.53,1056.15,1455.0,5887.0,1.235,1.09,,2.721,145.6,kepler,50.51991299698608,"{'planetary_radius': 0.9574732264595656, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7551787173279052, 'stellar_temp': 0.9455, 'stellar_radius': 0.9577858059840119}",Moderate
CONFIRMED,3.11604194,1.59,375.55,1123.0,5591.0,0.86,0.977,,1.7763,345.2,kepler,50.14096582999432,"{'planetary_radius': 0.953626598376786, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.7617990768425329, 'stellar_temp': 0.9065, 'stellar_radius': 0.9698354220530833}",Moderate
CONFIRMED,12.7372371,0.87,55.82,697.0,5420.0,0.868,0.874,,3.358,100.8,kepler,55.86196294706783,"{'planetary_radius': 0.9860737932666492, 'insolation_flux': 0.19557355437836477, 'equilibrium_temp': 0, 'orbital_period': 0.8321973853931024, 'stellar_temp': 0.821, 'stellar_radius': 0.9716872871356427}",Moderate
CONFIRMED,40.0306267,2.01,34.19,617.0,5855.0,1.373,1.161,,4.815,214.5,kepler,58.438463077749816,"{'planetary_radius': 0.9301865277929016, 'insolation_flux': 0.29361335926975807, 'equilibrium_temp': 0, 'orbital_period': 0.8894531389004652, 'stellar_temp': 0.9615, 'stellar_radius': 0.9366003746428332}",Moderate
CONFIRMED,0.679336747,1.4,2982.78,1883.0,5440.0,0.913,0.942,,1.2188,240.7,kepler,49.06595370200596,"{'planetary_radius': 0.9663527763378787, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.6856389810256761, 'stellar_temp': 0.831, 'stellar_radius': 0.9817961203225662}",Moderate
FALSE POSITIVE,10.21507506,1.5,87.48,780.0,5406.0,0.95,0.893,,3.395,258.6,kepler,52.72690166505982,"{'planetary_radius': 0.9594534891891836, 'insolation_flux': 0.10571796083828655, 'equilibrium_temp': 0, 'orbital_period': 0.8211641262814701, 'stellar_temp': 0.8140000000000001, 'stellar_radius': 0.9897413411224899}",Moderate
FALSE POSITIVE,8.3806973,1.91,57.04,701.0,5062.0,0.735,0.789,,3.028,650.8,kepler,52.064716148737524,"{'planetary_radius': 0.9352896757941461, 'insolation_flux': 0.1912494447787919, 'equilibrium_temp': 0, 'orbital_period': 0.8112674535212643, 'stellar_temp': 0.642, 'stellar_radius': 0.93842304404614}",Moderate
CONFIRMED,31.0572947,1.85,12.57,480.0,5395.0,0.734,0.821,,3.401,636.6,kepler,62.04125755141763,"{'planetary_radius': 0.9384814360909767, 'insolation_flux': 0.49373739547956874, 'equilibrium_temp': 0, 'orbital_period': 0.8767625832066734, 'stellar_temp': 0.8085, 'stellar_radius': 0.9381507499264757}",High
CONFIRMED,15.1622287,3.12,111.74,829.0,6325.0,1.112,1.157,,7.332,479.8,kepler,48.57357974387821,"{'planetary_radius': 0.8862166998178609, 'insolation_flux': 0.05676505119379949, 'equilibrium_temp': 0, 'orbital_period': 0.8409112665325791, 'stellar_temp': 0.7264999999999999, 'stellar_radius': 0.9787679608343218}",Moderate
CONFIRMED,10.04378351,2.94,193.39,951.0,6325.0,1.112,1.157,,5.548,437.9,kepler,47.126796978255115,"{'planetary_radius': 0.892159041864941, 'insolation_flux': 0, 'equilibrium_temp': 0, 'orbital_period': 0.8203185918135274, 'stellar_temp': 0.7264999999999999, 'stellar_radius': 0.9787679608343218}",Moderate
